Estuary,Lat,Lon,Tide
Blackwater, 51.759488,  0.935140,Harwich
Camel, 50.565653, -4.939092,Newlyn
Clyde, 55.726069, -4.952476,Millport
Conwy, 53.298893, -3.842444,Llandudno
Dyfi, 52.537156, -4.056294,Barmouth
Exe, 50.607605, -3.416519,Weymouth
Forth, 56.006043, -3.374075,Leith
Humber, 53.546286,  0.124483,Immingham
Kent, 54.186557, -2.882331,Heysham
Milford Haven, 51.6910121, -5.136185,Milford Haven
Portsmouth, 50.781906, -1.026911,Portsmouth
Severn, 51.518309, -2.809736,Newport
Thames, 51.505178,  0.686740,Sheerness
Tyne, 55.009522, -1.417778,North Shields
