StationNo,StationName,WYStart,WYEnd,AreaC
37017,Blackwater at Stisted,1969/1970,2018/2019,139.2
49006,Camel at Camelford,2007/2008,2018/2019,12.86
84040,Clyde at Abington,2005/2006,2018/2019,251.8
66011,Conwy at Cwmlanerch,1964/1965,2018/2019,344.5
64001,Dyfi at Dyfi Bridge,1963/1964,2009/2010,417.3
45001,Exe at Thorverton,1956/1957,2018/2019,600.9
?????,Forth at ???,????/????,????/????,1029.0
?????,Humber at ???,????/????,????/????,6000.0
73005,Kent at Sedgwick,1968/1969,2019/2020,209.0
?????,Milford Haven at ???,????/????,????/????,150.0
?????,Portsmouth at ???,????/????,????/????,50.0
54001,Severn at Bewdley,1924/1925,2021/2022,4325.0
39001,Thames at Kingston,1882/1883,2018/2019,9948.0
23001,Tynemouth at Bywell,1956/1957,2019/2020,2175.6
